('A310', 'а310', 'S', 1971, 1985, '23e48acb-f14b-403c-962f-faf1a980aa45')
('A390', 'А390', 'C', 2025, null, '23e48acb-f14b-403c-962f-faf1a980aa45')
('A610', 'а610', 'S', 1991, 1995, '23e48acb-f14b-403c-962f-faf1a980aa45')
('GTA', 'гта', 'S', 1985, 1990, '23e48acb-f14b-403c-962f-faf1a980aa45')
('А5', 'А5', 'D', 2023, null, '5eeb35c8-e029-4e57-ae28-86ec2f780fbb')
('Work', 'Ворк', 'J', 2024, null, 'a1f9c435-04e6-4a31-97a4-88356f136012')
('Eagle', 'Игл', 'D', 1979, 1987, '137a6207-dad7-4eb8-a9d3-fcac8251f280')
('Gremlin', 'Гремлин', 'C', 1970, 1978, '137a6207-dad7-4eb8-a9d3-fcac8251f280')
('Hornet', 'Хорнет', 'C', 1974, 1975, '137a6207-dad7-4eb8-a9d3-fcac8251f280')
('Matador', 'Матадор', 'S', 1974, 1978, '137a6207-dad7-4eb8-a9d3-fcac8251f280')
('Rambler Ambassador', 'Рамблер Амбассадор', 'E', 1965, 1972, '137a6207-dad7-4eb8-a9d3-fcac8251f280')
('Rambler Classic', 'Рамблер Классик', 'E', 1961, 1966, '137a6207-dad7-4eb8-a9d3-fcac8251f280')
('HMMWV (Humvee)', 'Хамви', 'J', 1984, 2006, 'a330843b-3182-4650-8712-1d3e288625ad')
('21541 Stalker', '21541 Сталкер', 'J', 2018, 2020, '39062921-f231-47c1-8244-77eaabb874ab')
('Alpha S', 'Альфа С', 'E', 2021, null, '76c857fe-2b45-446d-bda6-a53908b7b74c')
('Alpha S5', 'Альфа С5', 'E', 2024, null, '76c857fe-2b45-446d-bda6-a53908b7b74c')
('Alpha T', 'Альфа Т', 'D', 2020, null, '76c857fe-2b45-446d-bda6-a53908b7b74c')
('Kaola', 'Каола', 'M', 2023, null, '76c857fe-2b45-446d-bda6-a53908b7b74c')
('Atom', 'Атом', 'S', 1996, null, '603beb5b-7f51-404e-84d8-cfb5b9e37f3c')
('Nomad', 'Номад', 'S', 2015, null, '603beb5b-7f51-404e-84d8-cfb5b9e37f3c')
('10', '10', 'J', 1984, 2006, '3312a3c0-b8da-41d1-98b5-8cf1500812b2')
('24', '24', 'J', 1972, 2006, '3312a3c0-b8da-41d1-98b5-8cf1500812b2')
('Retona', 'Ретона', 'J', 1998, 2003, 'd53fd9f5-73b6-45c1-a234-3bed630d3a0b')
('Rocsta', 'Рокста', 'J', 1990, 1998, 'd53fd9f5-73b6-45c1-a234-3bed630d3a0b')
('Topic', 'Топик', 'M', 1987, 1999, 'd53fd9f5-73b6-45c1-a234-3bed630d3a0b')
('Towner', 'таунер', 'M', 1992, 1999, 'd53fd9f5-73b6-45c1-a234-3bed630d3a0b')
('Bulldog', 'бульдог', 'S', 1980, 1982, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Cygnet', 'сигнет', 'A', 2011, 2013, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('DB AR1', 'ДБ АР1', 'S', 2003, 2004, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('DB11', 'дб11', 'S', 2016, 2023, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('DB12', 'ДБ12', 'S', 2023, null, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('DB5', 'дб5', 'S', 1963, 1965, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('DB6', 'дб6', 'S', 1965, 1970, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('DB7', 'дб7', 'S', 1994, 2003, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('DB9', 'дб9', 'S', 2003, 2016, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('DBS', 'дбс', 'S', 1967, 2024, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('DBX', 'ДБХ', 'E', 2020, null, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Lagonda', 'лагонда', 'F', 1976, 1997, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Lagonda Taraf', 'Лагонда Тараф', 'S', 2015, 2016, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('One-77', 'ван-77', 'S', 2009, 2012, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Rapide', 'Рапиде', 'F', 2010, 2020, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Tickford Capri', 'тикфорд капри', 'C', 1982, 1985, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('V12 Speedster', 'В12 Спидстер', 'S', 2020, null, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('V12 Vantage', 'в12 вантаж', 'S', 2009, null, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('V12 Zagato', 'в12 загато', 'S', 2011, 2012, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('V8 Vantage', 'в8 вантаж', 'S', 1969, null, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('V8 Zagato', 'в8 загато', 'S', 1986, 1989, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Valhalla', 'Вальхалла', 'S', 2025, null, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Valiant', 'Валиант', 'S', 2024, null, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Valkyrie', 'Валькирия', 'S', 2021, 2024, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Valour', 'Валур', 'S', 2023, null, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Vanquish', 'ванквиш', 'S', 2001, null, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Virage', 'Вираж', 'F', 1988, 2012, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('Vulcan', 'Вулкан', 'S', 2015, 2016, 'f9bf201e-db91-4ef7-ad8f-df57655c360f')
('01', '01', 'B', 2025, null, '70eee1dd-44a4-48ab-9d1c-5a6e6feec35d')
('Speedster', 'Спидстер', 'S', 1935, 1937, '03ebd304-07ed-4eca-9968-b520628e8844')
('100', '100', 'E', 1968, 1994, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('200', '200', 'E', 1979, 1991, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('50', '50', 'B', 1974, 1978, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('80', '80', 'D', 1972, 1996, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('90', '90', 'D', 1984, 1995, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('920', '920', '', 1938, 1940, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('A1', 'А1', 'B', 2010, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('A2', 'А2', 'B', 2000, 2007, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('A3', 'А3', 'C', 1996, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('A4', 'А4', 'D', 1994, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('A4 allroad', 'А4 Олроуд', 'D', 2009, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
('A5', 'А5', 'D', 2007, null, 'ff38bd7d-3930-4796-a266-ba3c3def6ee2')
